"species","cultivar","chillPortions","hemisphere","quality","ssp","yearSpan","area_suitable","rasterName"
"almond_lo","Achak",3.4,"NH","good","ssp126","2081_2100",24709,"suitable_almond_lo_NH_ssp126_good_2081_2100"
"almond_lo","Achak",3.4,"NH","good","ssp585","2081_2100",31463,"suitable_almond_lo_NH_ssp585_good_2081_2100"
"almond_lo","Achak",3.4,"NH","good","historical","1991_2010",22775,"suitable_almond_lo_NH_historical_good_1991_2010"
"almond_lo","Achak",3.4,"SH","good","ssp126","2081_2100",9565,"suitable_almond_lo_SH_ssp126_good_2081_2100"
"almond_lo","Achak",3.4,"SH","good","ssp585","2081_2100",6522,"suitable_almond_lo_SH_ssp585_good_2081_2100"
"almond_lo","Achak",3.4,"SH","good","historical","1991_2010",10590,"suitable_almond_lo_SH_historical_good_1991_2010"
"apple_lo","Eva",12.5,"NH","good","ssp126","2081_2100",16536,"suitable_apple_lo_NH_ssp126_good_2081_2100"
"apple_lo","Eva",12.5,"NH","good","ssp585","2081_2100",18720,"suitable_apple_lo_NH_ssp585_good_2081_2100"
"apple_lo","Eva",12.5,"NH","good","historical","1991_2010",15524,"suitable_apple_lo_NH_historical_good_1991_2010"
"apple_lo","Eva",12.5,"SH","good","ssp126","2081_2100",5019,"suitable_apple_lo_SH_ssp126_good_2081_2100"
"apple_lo","Eva",12.5,"SH","good","ssp585","2081_2100",3477,"suitable_apple_lo_SH_ssp585_good_2081_2100"
"apple_lo","Eva",12.5,"SH","good","historical","1991_2010",6668,"suitable_apple_lo_SH_historical_good_1991_2010"
"cherry_lo","17GE580",18,"NH","good","ssp126","2081_2100",16510,"suitable_cherry_lo_NH_ssp126_good_2081_2100"
"cherry_lo","17GE580",18,"NH","good","ssp585","2081_2100",18943,"suitable_cherry_lo_NH_ssp585_good_2081_2100"
"cherry_lo","17GE580",18,"NH","good","historical","1991_2010",15410,"suitable_cherry_lo_NH_historical_good_1991_2010"
"cherry_lo","17GE580",18,"SH","good","ssp126","2081_2100",4812,"suitable_cherry_lo_SH_ssp126_good_2081_2100"
"cherry_lo","17GE580",18,"SH","good","ssp585","2081_2100",3444,"suitable_cherry_lo_SH_ssp585_good_2081_2100"
"cherry_lo","17GE580",18,"SH","good","historical","1991_2010",6316,"suitable_cherry_lo_SH_historical_good_1991_2010"
"olive_lo","Chemlali",16,"NH","good","ssp126","2081_2100",20791,"suitable_olive_lo_NH_ssp126_good_2081_2100"
"olive_lo","Chemlali",16,"NH","good","ssp585","2081_2100",28446,"suitable_olive_lo_NH_ssp585_good_2081_2100"
"olive_lo","Chemlali",16,"NH","good","historical","1991_2010",19401,"suitable_olive_lo_NH_historical_good_1991_2010"
"olive_lo","Chemlali",16,"SH","good","ssp126","2081_2100",5686,"suitable_olive_lo_SH_ssp126_good_2081_2100"
"olive_lo","Chemlali",16,"SH","good","ssp585","2081_2100",2905,"suitable_olive_lo_SH_ssp585_good_2081_2100"
"olive_lo","Chemlali",16,"SH","good","historical","1991_2010",7117,"suitable_olive_lo_SH_historical_good_1991_2010"
"grape_lo","No_chill",1,"NH","good","ssp126","2081_2100",16145,"suitable_grape_lo_NH_ssp126_good_2081_2100"
"grape_lo","No_chill",1,"NH","good","ssp585","2081_2100",17501,"suitable_grape_lo_NH_ssp585_good_2081_2100"
"grape_lo","No_chill",1,"NH","good","historical","1991_2010",14713,"suitable_grape_lo_NH_historical_good_1991_2010"
"grape_lo","No_chill",1,"SH","good","ssp126","2081_2100",5923,"suitable_grape_lo_SH_ssp126_good_2081_2100"
"grape_lo","No_chill",1,"SH","good","ssp585","2081_2100",3916,"suitable_grape_lo_SH_ssp585_good_2081_2100"
"grape_lo","No_chill",1,"SH","good","historical","1991_2010",7957,"suitable_grape_lo_SH_historical_good_1991_2010"
