"species","cultivar","chillPortions","hemisphere","historical_1991_2010","ssp126_2081_2100","ssp585_2081_2100","ssp126_2081_2100_common","ssp585_2081_2100_common","ratioEnd2Early_126","ratioEnd2Early_585","ratioEndCommon2Early_126","ratioEndCommon2Early_585","ratioLossEnd2Early_126","ratioLossEnd2Early_585"
"almond_lo","Achak",3.4,"NH",22775,24709,31463,20438,14031,8.49176728869374,38.1470911086718,89.7387486278814,61.6070252469813,-8.49176728869374,-38.1470911086718
"almond_lo","Achak",3.4,"SH",10590,9565,6522,9278,5262,-9.67894239848914,-38.413597733711,87.6109537299339,49.6883852691218,9.67894239848914,38.413597733711
"apple_lo","Eva",12.5,"NH",15524,16536,18720,12140,5529,6.51893841793352,20.5874774542644,78.2014944601907,35.6158206647771,-6.51893841793352,-20.5874774542644
"apple_lo","Eva",12.5,"SH",6668,5019,3477,4751,2279,-24.7300539892022,-47.8554289142172,71.25074985003,34.1781643671266,24.7300539892022,47.8554289142172
"cherry_lo","17GE580",18,"NH",15410,16510,18943,12065,5593,7.13822193380922,22.9266709928618,78.2933160285529,36.2946138870863,-7.13822193380921,-22.9266709928618
"cherry_lo","17GE580",18,"SH",6316,4812,3444,4469,2242,-23.8125395820139,-45.4718176060798,70.7568081063964,35.4971500949968,23.8125395820139,45.4718176060798
"grape_lo","No_chill",1,"NH",14713,16145,17501,11304,4107,9.73288928158771,18.9492285733705,76.8300142730918,27.914089580643,-9.73288928158771,-18.9492285733705
"grape_lo","No_chill",1,"SH",7957,5923,3916,5636,2578,-25.5623978886515,-50.7854719115244,70.8307150936282,32.3991454065603,25.5623978886515,50.7854719115244
"olive_lo","Chemlali",16,"NH",19401,20791,28446,16252,11704,7.16457914540487,46.6213081799907,83.7688778928921,60.3267872790062,-7.16457914540488,-46.6213081799907
"olive_lo","Chemlali",16,"SH",7117,5686,2905,5281,1882,-20.1067865673739,-59.182239707742,74.2026134607278,26.4437262891668,20.1067865673739,59.182239707742
